Exam 2 Results,,
Student name,Exam name,Exam points
Rogan Edwards,Biology,99
Darrel Wallace,Biology,98
Colin Adkins,Biology,20
Hop Cantu,Biology,11
Nita Valdez,Biology,18
Georgia Gomez,Biology,55
Shannon Fields,Biology,38
Jennifer Keith,Biology,87
Keane Cox,Biology,27
Sage Foster,Biology,44
Ezra Hoover,Biology,29
Burton Burke,Biology,76
Preston Barrera,Biology,47
Octavia Monroe,Biology,45
Kirestin Sweet,Biology,34
Octavius Chambers,Biology,76
Grady Decker,Biology,7
Jenette Humphrey,Biology,77
Hayley Hull,Biology,20
Mohammad Cantrell,Biology,44
Alma Richmond,Biology,77
Galena Mayer,Biology,44
Reese Black,Biology,5
Phillip Ward,Biology,94
Priscilla Higgins,Biology,16
Yael Trujillo,Biology,61
Demetrius Castaneda,Biology,92
Todd Dillard,Biology,89
Noelle Marsh,Biology,31
Akeem Chan,Biology,62
Victoria Long,Biology,83
Brooke Zimmerman,Biology,40
Cadman Greene,Biology,14
Yen Bowers,Biology,26
Ryan Pena,Biology,62
Portia Hamilton,Biology,97
Sydnee Chambers,Biology,55
Hop Cantu,Chemistry,39
Nita Valdez,Chemistry,20
Georgia Gomez,Chemistry,32
Shannon Fields,Chemistry,19
Jennifer Keith,Chemistry,22
Keane Cox,Chemistry,53
Sage Foster,Chemistry,57
Ezra Hoover,Chemistry,32
Burton Burke,Chemistry,7
Preston Barrera,Chemistry,34
Octavia Monroe,Chemistry,40
Kirestin Sweet,Chemistry,4
Octavius Chambers,Chemistry,47
Grady Decker,Chemistry,1
Jenette Humphrey,Chemistry,43
Hayley Hull,Chemistry,5
Mohammad Cantrell,Chemistry,9
Alma Richmond,Chemistry,85
Galena Mayer,Chemistry,83
Reese Black,Chemistry,15
Phillip Ward,Chemistry,22
Priscilla Higgins,Chemistry,5
Yael Trujillo,Chemistry,58
Demetrius Castaneda,Chemistry,68
Todd Dillard,Chemistry,8
Noelle Marsh,Chemistry,79
Vincent Byers,Mathematics,98
Rogan Edwards,Mathematics,75
Darrel Wallace,Mathematics,4
Colin Adkins,Mathematics,78
Hop Cantu,Mathematics,70
Nita Valdez,Mathematics,89
Georgia Gomez,Mathematics,72
Shannon Fields,Mathematics,78
Jennifer Keith,Mathematics,62
Keane Cox,Mathematics,27
Sage Foster,Mathematics,91
Ezra Hoover,Mathematics,53
Burton Burke,Mathematics,56
Preston Barrera,Mathematics,53
Octavia Monroe,Mathematics,100
Kirestin Sweet,Mathematics,51
Octavius Chambers,Mathematics,21
Grady Decker,Mathematics,5
Jenette Humphrey,Mathematics,89
Hayley Hull,Mathematics,62
Mohammad Cantrell,Mathematics,69
Alma Richmond,Mathematics,3
Galena Mayer,Mathematics,33
Reese Black,Mathematics,7
Phillip Ward,Mathematics,50
Priscilla Higgins,Mathematics,85
Yael Trujillo,Mathematics,81
Demetrius Castaneda,Mathematics,25
Todd Dillard,Mathematics,14
Noelle Marsh,Mathematics,32
Akeem Chan,Mathematics,17
Victoria Long,Mathematics,29
Brooke Zimmerman,Mathematics,89
Cadman Greene,Mathematics,76
Yen Bowers,Mathematics,98
Ryan Pena,Mathematics,67
Vincent Byers,Philosophy,83
Rogan Edwards,Philosophy,42
Darrel Wallace,Philosophy,65
Colin Adkins,Philosophy,42
Hop Cantu,Philosophy,63
Nita Valdez,Philosophy,16
Georgia Gomez,Philosophy,10
Shannon Fields,Philosophy,84
Jennifer Keith,Philosophy,85
Keane Cox,Philosophy,15
Sage Foster,Philosophy,41
Ezra Hoover,Philosophy,62
Burton Burke,Philosophy,90
Preston Barrera,Philosophy,17
Octavia Monroe,Philosophy,91
Kirestin Sweet,Philosophy,61
Octavius Chambers,Philosophy,26
Grady Decker,Philosophy,24
Jenette Humphrey,Philosophy,26
Hayley Hull,Philosophy,34
Mohammad Cantrell,Philosophy,62
Alma Richmond,Philosophy,28
Galena Mayer,Philosophy,58
Reese Black,Philosophy,66
Phillip Ward,Philosophy,93
Priscilla Higgins,Philosophy,79
Yael Trujillo,Philosophy,97
Demetrius Castaneda,Philosophy,76
Todd Dillard,Philosophy,94
Noelle Marsh,Philosophy,42
Akeem Chan,Philosophy,17
Victoria Long,Philosophy,64
Brooke Zimmerman,Philosophy,35
Cadman Greene,Philosophy,23
Yen Bowers,Philosophy,8
Ryan Pena,Philosophy,35
Portia Hamilton,Philosophy,89
Shannon Fields,Physics,97
Jennifer Keith,Physics,83
Keane Cox,Physics,65
Sage Foster,Physics,21
Ezra Hoover,Physics,83
Burton Burke,Physics,59
Preston Barrera,Physics,64
Octavia Monroe,Physics,51
Kirestin Sweet,Physics,44
Octavius Chambers,Physics,54
Grady Decker,Physics,51
Jenette Humphrey,Physics,64
Hayley Hull,Physics,70
Mohammad Cantrell,Physics,86
Alma Richmond,Physics,15
Galena Mayer,Physics,65
Reese Black,Physics,10
Phillip Ward,Physics,97
Priscilla Higgins,Physics,42
Yael Trujillo,Physics,86
Vincent Byers,Sociology,98
Rogan Edwards,Sociology,63
Darrel Wallace,Sociology,62
Colin Adkins,Sociology,61
Hop Cantu,Sociology,19
Nita Valdez,Sociology,82
Georgia Gomez,Sociology,53
Shannon Fields,Sociology,95
Jennifer Keith,Sociology,75
Keane Cox,Sociology,1
Sage Foster,Sociology,6
Ezra Hoover,Sociology,77
Burton Burke,Sociology,33
Preston Barrera,Sociology,41
Octavia Monroe,Sociology,57
Kirestin Sweet,Sociology,25
Octavius Chambers,Sociology,33
Grady Decker,Sociology,10
Jenette Humphrey,Sociology,44
Hayley Hull,Sociology,97
Mohammad Cantrell,Sociology,45
Alma Richmond,Sociology,85
Galena Mayer,Sociology,67
Reese Black,Sociology,6
Phillip Ward,Sociology,72
Priscilla Higgins,Sociology,14
Yael Trujillo,Sociology,66
Demetrius Castaneda,Sociology,63
Todd Dillard,Sociology,67
Noelle Marsh,Sociology,91
Akeem Chan,Sociology,83
Victoria Long,Sociology,18
Brooke Zimmerman,Sociology,41
Cadman Greene,Sociology,70
Yen Bowers,Sociology,22
Ryan Pena,Sociology,84
